,game_id,season,season_type,week,game_date,home_team,away_team,final_home_score,final_away_score,score_diff,home_win,home_plays,home_pass_plays,home_rush_plays,home_yards_total,home_epa_total,home_epa_mean,home_success_rate,home_touchdowns,home_interceptions,home_fumbles_lost,home_explosive_plays,away_plays,away_pass_plays,away_rush_plays,away_yards_total,away_epa_total,away_epa_mean,away_success_rate,away_touchdowns,away_interceptions,away_fumbles_lost,away_explosive_plays,underdog_win,underdog_team,spread_home,spread_away
16,2005_02_CLE_GB,2005,REG,2,2005-09-18,GB,CLE,24,26,-2,0,93,48,28,452.0,15.683993730832707,0.16864509387992158,0.5376344086021505,3,2,0,6,76,35,23,391.0,20.773528089448924,0.27333589591380164,0.5324675324675324,3,0,0,3,1.0,CLE,-7.0,7.0
17,2005_02_DET_CHI,2005,REG,2,2005-09-18,CHI,DET,38,6,32,1,78,24,36,336.0,2.652557576461485,0.03400714841617288,0.45569620253164556,3,0,0,4,80,48,17,234.0,-28.319804531165445,-0.35399755663956806,0.3875,3,5,0,2,1.0,CHI,2.5,-2.5
18,2005_02_JAX_IND,2005,REG,2,2005-09-18,IND,JAX,10,3,7,1,83,28,39,268.0,-5.375726888969219,-0.06476779384300264,0.3614457831325301,1,1,0,1,76,36,23,303.0,-11.122216668212793,-0.14634495616069465,0.37662337662337664,0,0,0,5,0.0,JAX,-9.0,9.0
19,2005_02_MIA_NYJ,2005,REG,2,2005-09-18,NYJ,MIA,17,7,10,1,85,33,36,271.0,1.837861095831876,0.021621895245080895,0.4117647058823529,2,0,0,3,83,46,20,235.0,-7.328768405502943,-0.08829841452413185,0.42857142857142855,1,1,0,2,0.0,MIA,-6.0,6.0
20,2005_02_MIN_CIN,2005,REG,2,2005-09-18,CIN,MIN,37,8,29,1,100,42,35,504.0,17.92767387905096,0.1792767387905096,0.49504950495049505,4,1,0,3,76,48,13,306.0,-10.595917939513923,-0.1394199728883411,0.5,1,5,2,4,0.0,MIN,-3.0,3.0
21,2005_02_NE_CAR,2005,REG,2,2005-09-18,CAR,NE,27,17,10,1,83,30,34,250.0,-2.545884104656184,-0.03067330246573716,0.38095238095238093,4,1,0,2,90,50,17,288.0,-10.348884818944233,-0.11498760909938037,0.3888888888888889,1,1,2,3,1.0,CAR,3.0,-3.0
22,2005_02_NYG_NO,2005,REG,2,2005-09-19,NO,NYG,10,27,-17,0,92,50,21,422.0,-12.167193616500173,-0.13225210452717578,0.34782608695652173,1,3,4,7,76,29,29,257.0,9.124918125068167,0.12006471217194956,0.4805194805194805,3,0,0,2,0.0,NO,3.0,-3.0
23,2005_02_PIT_HOU,2005,REG,2,2005-09-18,HOU,PIT,7,27,-20,0,76,40,21,221.0,-7.256143365886932,-0.09547557060377543,0.38961038961038963,1,0,1,4,69,23,35,388.0,16.176144772180567,0.2344368807562401,0.4927536231884058,3,0,0,4,0.0,HOU,4.5,-4.5
24,2005_02_SF_PHI,2005,REG,2,2005-09-18,PHI,SF,42,3,39,1,86,41,30,583.0,21.954453891013035,0.255284347569919,0.5747126436781609,6,0,1,10,65,30,17,142.0,-16.376569165789995,-0.25194721793523067,0.38461538461538464,0,3,0,0,0.0,SF,-11.5,11.5
25,2005_02_WAS_DAL,2005,REG,2,2005-09-19,DAL,WAS,13,14,-1,0,85,38,31,351.0,-4.125682934121731,-0.04853744628378508,0.36046511627906974,1,0,0,3,89,46,22,346.0,-2.0170425146786712,-0.022663399041333385,0.39325842696629215,2,1,1,5,1.0,WAS,-6.0,6.0
26,2005_03_ARI_SEA,2005,REG,3,2005-09-25,SEA,ARI,37,12,25,1,90,34,37,447.0,18.19996145681995,0.2022217939646661,0.5384615384615384,4,0,0,4,84,41,19,266.0,-3.773232980543983,-0.04491944024457123,0.4166666666666667,0,1,1,2,0.0,ARI,-6.5,6.5
27,2005_03_ATL_BUF,2005,REG,3,2005-09-25,BUF,ATL,16,24,-8,0,80,33,33,208.0,1.918165118440954,0.023977063980511925,0.4625,1,1,2,1,84,34,30,403.0,12.45438128502469,0.14826644386934154,0.43023255813953487,3,1,0,6,1.0,ATL,-3.0,3.0
28,2005_03_CAR_MIA,2005,REG,3,2005-09-25,MIA,CAR,27,24,3,1,87,35,32,315.0,10.903417790680077,0.1253266412721848,0.42528735632183906,3,1,1,3,88,43,27,299.0,10.19926971519493,0.1159007922181242,0.48314606741573035,3,1,1,5,1.0,MIA,3.5,-3.5
29,2005_03_CIN_CHI,2005,REG,3,2005-09-25,CHI,CIN,7,24,-17,0,85,42,28,255.0,-26.29648352995705,-0.30937039447008297,0.36470588235294116,1,5,1,1,80,28,28,244.0,-5.483040016355121,-0.06853800020443901,0.3333333333333333,3,0,1,3,0.0,CHI,3.0,-3.0
30,2005_03_CLE_IND,2005,REG,3,2005-09-25,IND,CLE,13,6,7,1,68,25,30,339.0,2.068665279692335,0.03042154823076963,0.5072463768115942,1,1,0,3,72,34,24,263.0,-2.684619978070261,-0.03728638858430918,0.4027777777777778,0,0,0,3,0.0,CLE,-13.5,13.5
31,2005_03_DAL_SF,2005,REG,3,2005-09-25,SF,DAL,31,34,-3,0,88,40,25,390.0,1.0704354614432208,0.012164039334582055,0.4943820224719101,3,2,1,3,90,44,29,445.0,7.64273842467144,0.08491931582968267,0.4666666666666667,6,2,1,6,0.0,SF,6.5,-6.5
32,2005_03_JAX_NYJ,2005,REG,3,2005-09-25,NYJ,JAX,20,26,-6,0,76,31,26,168.0,-6.129835567014839,-0.08065573114493209,0.45454545454545453,1,2,0,1,96,31,46,308.0,4.2363597149526475,0.04412874703075675,0.3958333333333333,4,1,3,3,1.0,JAX,-2.5,2.5
33,2005_03_KC_DEN,2005,REG,3,2005-09-26,DEN,KC,30,10,20,1,70,20,36,358.0,15.801962788762868,0.22574232555375526,0.4788732394366197,3,0,0,5,92,51,24,285.0,-3.1108035679716033,-0.03381308226056091,0.3804347826086957,1,0,1,5,0.0,KC,-2.5,2.5
34,2005_03_NE_PIT,2005,REG,3,2005-09-25,PIT,NE,20,23,-3,0,80,36,22,269.0,-5.391579336966717,-0.06739474171208396,0.345679012345679,2,0,1,2,92,44,30,425.0,1.3853807766138595,0.015058486702324559,0.5217391304347826,2,1,2,4,0.0,NE,-3.0,3.0
35,2005_03_NO_MIN,2005,REG,3,2005-09-25,MIN,NO,33,16,17,1,101,44,34,420.0,4.057680093845773,0.040175050434116566,0.46078431372549017,3,0,0,5,81,41,19,296.0,-10.84615912495942,-0.1339031990735731,0.3950617283950617,2,2,2,4,0.0,NO,-3.5,3.5
36,2005_04_BUF_NO,2005,REG,4,2005-10-02,NO,BUF,19,7,12,1,87,33,36,333.0,2.167025151580896,0.024908335075642482,0.4318181818181818,1,0,0,5,66,30,20,208.0,-9.262342151918157,-0.1403385174533054,0.4090909090909091,1,1,1,2,0.0,NO,1.0,-1.0
